Slot,Days,Start,End,Slot Type
MWF-0830,MWF,08:30,09:20,150xAny
MWF-0935,MWF,09:35,10:25,150xAny
MWF-1040,MWF,10:40,11:30,150xAny
MWF-1145,MWF,11:45,12:35,150xAny
MWF-1250,MWF,12:50,13:40,150xAny
MWF-1355,MWF,13:55,14:45,150xAny
MWF-1500,MWF,15:00,15:50,150xAny
MWF-1605,MWF,16:05,16:55,150xAny
MWF-1710,MWF,17:10,18:00,150xAny
TTH-0830,TTH,08:30,09:45,150xAny
TTH-1000,TTH,10:00,11:15,150xAny
TTH-1130,TTH,11:30,12:45,150xAny
TTH-1300,TTH,13:00,14:15,150xAny
TTH-1430,TTH,14:30,15:45,150xAny
TTH-1600,TTH,16:00,17:15,150xAny
M-0830-Lab,M,08:30,10:20,110x1
M-1040-Lab,M,10:40,12:30,110x1
M-1250-Lab,M,12:50,14:40,110x1
M-1500-Lab,M,15:00,16:50,110x1
T-0830-Lab,T,08:30,10:20,110x1
T-1055-Lab,T,10:55,12:45,110x1
T-1300-Lab,T,13:00,14:50,110x1
T-1525-Lab,T,15:25,17:15,110x1
W-0830-Lab,W,08:30,10:20,110x1
W-1040-Lab,W,10:40,12:30,110x1
W-1250-Lab,W,12:50,14:40,110x1
W-1500-Lab,W,15:00,16:50,110x1
TH-0830-Lab,TH,08:30,10:20,110x1
TH-1055-Lab,TH,10:55,12:45,110x1
TH-1300-Lab,TH,13:00,14:50,110x1
TH-1525-Lab,TH,15:25,17:15,110x1
F-0830-Lab,F,08:30,10:20,110x1
F-1040-Lab,F,10:40,12:30,110x1
F-1250-Lab,F,12:50,14:40,110x1
F-1500-Lab,F,15:00,16:50,110x1
MW-0830-Lab,MW,08:30,10:20,110x2
MW-1040-Lab,MW,10:40,12:30,110x2
MW-1250-Lab,MW,12:50,14:40,110x2
MW-1500-Lab,MW,15:00,16:50,110x2
TTH-0830-Lab,TTH,08:30,10:20,110x2
TTH-1055-Lab,TTH,10:55,12:45,110x2
TTH-1300-Lab,TTH,13:00,14:50,110x2
TTH-1525-Lab,TTH,15:25,17:15,110x2
M-0830-Lec,M,08:30,09:20,50x1
M-0935-Lec,M,09:35,10:25,50x1
M-1040-Lec,M,10:40,11:30,50x1
M-1145-Lec,M,11:45,12:35,50x1
M-1250-Lec,M,12:50,13:40,50x1
M-1355-Lec,M,13:55,14:45,50x1
M-1500-Lec,M,15:00,15:50,50x1
M-1605-Lec,M,16:05,16:55,50x1
M-1710-Lec,M,17:10,18:00,50x1
W-0830-Lec,W,08:30,09:20,50x1
W-0935-Lec,W,09:35,10:25,50x1
W-1040-Lec,W,10:40,11:30,50x1
W-1145-Lec,W,11:45,12:35,50x1
W-1250-Lec,W,12:50,13:40,50x1
W-1355-Lec,W,13:55,14:45,50x1
W-1500-Lec,W,15:00,15:50,50x1
W-1605-Lec,W,16:05,16:55,50x1
W-1710-Lec,W,17:10,18:00,50x1
F-0830-Lec,F,08:30,09:20,50x1
F-0935-Lec,F,09:35,10:25,50x1
F-1040-Lec,F,10:40,11:30,50x1
F-1145-Lec,F,11:45,12:35,50x1
F-1250-Lec,F,12:50,13:40,50x1
F-1355-Lec,F,13:55,14:45,50x1
F-1500-Lec,F,15:00,15:50,50x1
F-1605-Lec,F,16:05,16:55,50x1
F-1710-Lec,F,17:10,18:00,50x1
MW-0830-Lec,MW,08:30,09:20,50x2
MW-0935-Lec,MW,09:35,10:25,50x2
MW-1040-Lec,MW,10:40,11:30,50x2
MW-1145-Lec,MW,11:45,12:35,50x2
MW-1250-Lec,MW,12:50,13:40,50x2
MW-1355-Lec,MW,13:55,14:45,50x2
MW-1500-Lec,MW,15:00,15:50,50x2
MW-1605-Lec,MW,16:05,16:55,50x2
MW-1710-Lec,MW,17:10,18:00,50x2
